# Version 1.5
# Software: Microsoft Windows Firewall
# Time: 2026-04-04 09:30:00
# Fields: date time action protocol src-ip dest-ip src-port dest-port size tcpflags tcpsyn tcpack tcpwin icmptype icmpcode info path
2026-04-04 09:36:18 ALLOW ICMP 192.168.1.10 172.217.160.78 - - - - - - - - - 8 0 -
2026-04-04 09:36:20 DROP UDP 185.220.101.47 192.168.1.1 - 5060 - - - - - - - - - -
2026-04-04 09:36:21 ALLOW TCP 192.168.1.1 157.240.22.35 5060 8080 - - - - - - - - - -
2026-04-04 09:36:24 DROP TCP 43.241.131.38 192.168.1.10 - 443 - - - - - - - - - -
2026-04-04 09:36:27 ALLOW TCP 192.168.1.10 172.217.160.78 445 123 - - - - - - - - - -
2026-04-04 09:36:28 ALLOW ICMP 192.168.1.10 172.217.160.78 - - - - - - - - - 8 0 -
2026-04-04 09:36:30 DROP TCP 185.220.101.47 192.168.1.1 - 5060 - - - - - - - - - -
2026-04-04 09:36:31 DROP ICMP 192.168.1.100 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 09:36:33 ALLOW ICMP 192.168.1.1 8.8.4.4 - - - - - - - - - 8 0 -
2026-04-04 09:36:36 DROP ICMP 192.168.1.100 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 09:36:39 ALLOW TCP 192.168.1.10 8.8.8.8 8080 1433 - - - - - - - - - -
2026-04-04 09:36:40 ALLOW TCP 192.168.1.1 8.8.4.4 123 53 - - - - - - - - - -
2026-04-04 09:36:41 ALLOW UDP 192.168.1.10 172.217.160.78 123 5060 - - - - - - - - - -
2026-04-04 09:36:42 DROP TCP 43.241.131.38 192.168.1.10 - 53 - - - - - - - - - -
2026-04-04 09:36:44 ALLOW ICMP 192.168.1.1 172.217.160.78 - - - - - - - - - 8 0 -
2026-04-04 09:36:47 DROP UDP 43.241.131.38 192.168.1.10 - 53 - - - - - - - - - -
2026-04-04 09:36:48 DROP ICMP 43.241.131.38 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 09:37:03 DROP ICMP 185.220.101.47 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 09:37:06 DROP ICMP 185.220.101.47 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 09:37:13 ALLOW TCP 192.168.1.10 8.8.4.4 80 1433 - - - - - - - - - -
2026-04-04 09:37:15 ALLOW ICMP 192.168.1.10 157.240.22.35 - - - - - - - - - 8 0 -
2026-04-04 09:37:23 DROP UDP 192.168.1.100 192.168.1.10 67 5060 - - - - - - - - - -
2026-04-04 09:37:25 DROP TCP 185.220.101.47 192.168.1.10 - 123 - - - - - - - - - -
2026-04-04 09:37:26 ALLOW ICMP 192.168.1.10 172.217.160.78 - - - - - - - - - 8 0 -
2026-04-04 09:37:28 DROP UDP 185.220.101.47 192.168.1.1 - 53 - - - - - - - - - -
2026-04-04 09:37:30 ALLOW ICMP 192.168.1.1 8.8.4.4 - - - - - - - - - 8 0 -
2026-04-04 09:37:33 DROP TCP 192.168.1.100 192.168.1.10 22 445 - - - - - - - - - -
2026-04-04 09:37:34 DROP ICMP 192.168.1.101 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 09:37:36 ALLOW TCP 192.168.1.1 52.94.236.248 80 23 - - - - - - - - - -
2026-04-04 09:37:37 DROP ICMP 192.168.1.101 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 09:37:40 ALLOW UDP 192.168.1.10 8.8.4.4 53 5060 - - - - - - - - - -
2026-04-04 09:37:41 ALLOW UDP 192.168.1.10 151.101.1.69 123 53 - - - - - - - - - -
2026-04-04 09:37:43 DROP ICMP 192.168.1.101 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 09:37:45 ALLOW UDP 192.168.1.1 172.217.160.78 67 53 - - - - - - - - - -
2026-04-04 09:37:47 ALLOW UDP 192.168.1.1 172.217.160.78 5060 5060 - - - - - - - - - -
2026-04-04 09:37:50 ALLOW ICMP 192.168.1.10 172.217.160.78 - - - - - - - - - 8 0 -
2026-04-04 09:37:55 DROP TCP 192.168.1.100 192.168.1.1 53 22 - - - - - - - - - -
2026-04-04 09:37:58 ALLOW TCP 192.168.1.10 172.217.160.78 5060 23 - - - - - - - - - -
2026-04-04 09:38:00 DROP TCP 192.168.1.100 192.168.1.1 80 123 - - - - - - - - - -
2026-04-04 09:38:01 DROP UDP 192.168.1.100 192.168.1.1 5060 53 - - - - - - - - - -
2026-04-04 09:38:02 DROP TCP 192.168.1.100 192.168.1.10 80 123 - - - - - - - - - -
2026-04-04 09:38:04 ALLOW ICMP 192.168.1.10 157.240.22.35 - - - - - - - - - 8 0 -
2026-04-04 09:38:05 DROP ICMP 192.168.1.100 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 09:52:18 ALLOW UDP 192.168.1.10 151.101.1.69 53 5060 - - - - - - - - - -
2026-04-04 09:52:20 DROP UDP 185.220.101.47 192.168.1.1 - 123 - - - - - - - - - -
2026-04-04 09:52:22 ALLOW UDP 192.168.1.10 157.240.22.35 5060 5060 - - - - - - - - - -
2026-04-04 10:13:34 DROP TCP 43.241.131.38 192.168.1.10 - 8080 - - - - - - - - - -
2026-04-04 10:13:35 DROP UDP 43.241.131.38 192.168.1.10 - 67 - - - - - - - - - -
2026-04-04 10:13:37 DROP TCP 185.220.101.47 192.168.1.1 - 443 - - - - - - - - - -
2026-04-04 10:13:39 DROP ICMP 192.168.1.100 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:13:41 DROP UDP 43.241.131.38 192.168.1.10 - 123 - - - - - - - - - -
2026-04-04 10:13:45 DROP TCP 43.241.131.38 192.168.1.1 - 445 - - - - - - - - - -
2026-04-04 10:13:47 DROP UDP 192.168.1.101 192.168.1.1 123 123 - - - - - - - - - -
2026-04-04 10:13:48 DROP ICMP 192.168.1.100 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:13:50 DROP ICMP 185.220.101.47 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:13:53 DROP UDP 192.168.1.101 192.168.1.10 67 5060 - - - - - - - - - -
2026-04-04 10:13:54 ALLOW ICMP 192.168.1.10 8.8.4.4 - - - - - - - - - 8 0 -
2026-04-04 10:13:56 DROP TCP 192.168.1.100 192.168.1.10 53 8080 - - - - - - - - - -
2026-04-04 10:13:59 DROP UDP 192.168.1.100 192.168.1.10 67 53 - - - - - - - - - -
2026-04-04 10:14:00 ALLOW UDP 192.168.1.10 52.94.236.248 67 53 - - - - - - - - - -
2026-04-04 10:14:01 DROP TCP 192.168.1.100 192.168.1.10 3389 80 - - - - - - - - - -
2026-04-04 10:14:04 DROP ICMP 185.220.101.47 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:14:05 DROP ICMP 192.168.1.100 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:14:07 DROP UDP 192.168.1.100 192.168.1.1 5060 67 - - - - - - - - - -
2026-04-04 10:14:08 ALLOW UDP 192.168.1.1 172.217.160.78 67 5060 - - - - - - - - - -
2026-04-04 10:14:11 DROP TCP 192.168.1.101 192.168.1.1 123 80 - - - - - - - - - -
2026-04-04 10:14:12 ALLOW UDP 192.168.1.10 172.217.160.78 5060 123 - - - - - - - - - -
2026-04-04 10:14:14 DROP ICMP 43.241.131.38 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:14:15 DROP UDP 192.168.1.101 192.168.1.1 5060 67 - - - - - - - - - -
2026-04-04 10:14:16 DROP TCP 192.168.1.101 192.168.1.1 445 3389 - - - - - - - - - -
2026-04-04 10:14:18 DROP UDP 192.168.1.100 192.168.1.1 53 67 - - - - - - - - - -
2026-04-04 10:14:20 ALLOW ICMP 192.168.1.1 172.217.160.78 - - - - - - - - - 8 0 -
2026-04-04 10:14:22 DROP TCP 192.168.1.101 192.168.1.1 3389 1433 - - - - - - - - - -
2026-04-04 10:14:24 DROP TCP 192.168.1.101 192.168.1.1 8080 80 - - - - - - - - - -
2026-04-04 10:14:27 DROP TCP 43.241.131.38 192.168.1.1 - 80 - - - - - - - - - -
2026-04-04 10:14:28 DROP TCP 192.168.1.101 192.168.1.1 5060 23 - - - - - - - - - -
2026-04-04 10:14:31 ALLOW ICMP 192.168.1.10 8.8.4.4 - - - - - - - - - 8 0 -
2026-04-04 10:14:33 DROP TCP 185.220.101.47 192.168.1.1 - 53 - - - - - - - - - -
2026-04-04 10:14:36 ALLOW TCP 192.168.1.1 151.101.1.69 53 5060 - - - - - - - - - -
2026-04-04 10:14:37 DROP TCP 43.241.131.38 192.168.1.10 - 53 - - - - - - - - - -
2026-04-04 10:14:39 ALLOW TCP 192.168.1.10 52.94.236.248 8080 1433 - - - - - - - - - -
2026-04-04 10:14:41 DROP UDP 185.220.101.47 192.168.1.10 - 53 - - - - - - - - - -
2026-04-04 10:14:43 DROP UDP 192.168.1.101 192.168.1.10 53 67 - - - - - - - - - -
2026-04-04 10:14:46 DROP UDP 192.168.1.100 192.168.1.10 123 5060 - - - - - - - - - -
2026-04-04 10:14:48 DROP TCP 43.241.131.38 192.168.1.1 - 3389 - - - - - - - - - -
2026-04-04 10:14:50 ALLOW UDP 192.168.1.10 172.217.160.78 53 123 - - - - - - - - - -
2026-04-04 10:14:52 DROP UDP 185.220.101.47 192.168.1.1 - 123 - - - - - - - - - -
2026-04-04 10:14:55 ALLOW TCP 192.168.1.1 8.8.8.8 53 1433 - - - - - - - - - -
2026-04-04 10:14:57 DROP ICMP 192.168.1.100 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:14:59 DROP ICMP 192.168.1.100 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:15:00 DROP ICMP 192.168.1.101 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:15:03 ALLOW TCP 192.168.1.10 151.101.1.69 1433 53 - - - - - - - - - -
2026-04-04 10:15:04 ALLOW TCP 192.168.1.10 8.8.4.4 5060 8080 - - - - - - - - - -
2026-04-04 10:15:06 DROP UDP 192.168.1.100 192.168.1.1 5060 53 - - - - - - - - - -
2026-04-04 10:15:08 ALLOW ICMP 192.168.1.1 172.217.160.78 - - - - - - - - - 8 0 -
2026-04-04 10:15:09 ALLOW UDP 192.168.1.10 8.8.8.8 53 53 - - - - - - - - - -
2026-04-04 10:15:11 DROP TCP 43.241.131.38 192.168.1.1 - 22 - - - - - - - - - -
2026-04-04 10:15:13 DROP UDP 192.168.1.100 192.168.1.10 5060 123 - - - - - - - - - -
2026-04-04 10:15:16 DROP UDP 43.241.131.38 192.168.1.10 - 123 - - - - - - - - - -
2026-04-04 10:15:19 DROP ICMP 185.220.101.47 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:15:20 DROP UDP 43.241.131.38 192.168.1.1 - 53 - - - - - - - - - -
2026-04-04 10:15:22 ALLOW ICMP 192.168.1.10 8.8.4.4 - - - - - - - - - 8 0 -
2026-04-04 10:15:24 DROP TCP 192.168.1.100 192.168.1.1 3389 80 - - - - - - - - - -
2026-04-04 10:15:25 DROP ICMP 192.168.1.101 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:15:27 ALLOW ICMP 192.168.1.10 151.101.1.69 - - - - - - - - - 8 0 -
2026-04-04 10:15:29 ALLOW ICMP 192.168.1.1 8.8.4.4 - - - - - - - - - 8 0 -
2026-04-04 10:15:32 DROP ICMP 192.168.1.100 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:15:33 ALLOW TCP 192.168.1.10 8.8.4.4 443 22 - - - - - - - - - -
2026-04-04 10:15:35 ALLOW TCP 192.168.1.1 151.101.1.69 445 1433 - - - - - - - - - -
2026-04-04 10:15:37 ALLOW UDP 192.168.1.1 157.240.22.35 5060 123 - - - - - - - - - -
2026-04-04 10:15:38 DROP ICMP 192.168.1.101 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:15:39 ALLOW TCP 192.168.1.1 151.101.1.69 1433 80 - - - - - - - - - -
2026-04-04 10:15:41 DROP TCP 192.168.1.100 192.168.1.10 23 80 - - - - - - - - - -
2026-04-04 10:15:42 DROP UDP 192.168.1.100 192.168.1.10 123 123 - - - - - - - - - -
2026-04-04 10:15:44 ALLOW ICMP 192.168.1.1 157.240.22.35 - - - - - - - - - 8 0 -
2026-04-04 10:15:46 ALLOW TCP 192.168.1.10 172.217.160.78 5060 8080 - - - - - - - - - -
2026-04-04 10:15:49 DROP UDP 185.220.101.47 192.168.1.1 - 67 - - - - - - - - - -
2026-04-04 10:15:51 ALLOW ICMP 192.168.1.10 157.240.22.35 - - - - - - - - - 8 0 -
2026-04-04 10:15:53 DROP ICMP 185.220.101.47 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:15:55 DROP TCP 185.220.101.47 192.168.1.1 - 22 - - - - - - - - - -
2026-04-04 10:15:57 DROP TCP 192.168.1.101 192.168.1.10 445 5060 - - - - - - - - - -
2026-04-04 10:15:59 ALLOW TCP 192.168.1.1 8.8.8.8 22 1433 - - - - - - - - - -
2026-04-04 10:16:02 DROP ICMP 192.168.1.101 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:16:03 DROP TCP 192.168.1.101 192.168.1.1 5060 5060 - - - - - - - - - -
2026-04-04 10:16:05 DROP TCP 185.220.101.47 192.168.1.1 - 3389 - - - - - - - - - -
2026-04-04 10:16:07 ALLOW TCP 192.168.1.10 8.8.8.8 80 1433 - - - - - - - - - -
2026-04-04 10:16:09 DROP ICMP 192.168.1.101 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:16:12 ALLOW TCP 192.168.1.1 8.8.4.4 8080 1433 - - - - - - - - - -
2026-04-04 10:16:14 DROP ICMP 192.168.1.101 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:16:15 DROP UDP 185.220.101.47 192.168.1.10 - 67 - - - - - - - - - -
2026-04-04 10:16:17 DROP ICMP 192.168.1.100 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:16:19 DROP UDP 185.220.101.47 192.168.1.1 - 67 - - - - - - - - - -
2026-04-04 10:16:22 DROP TCP 43.241.131.38 192.168.1.1 - 80 - - - - - - - - - -
2026-04-04 10:16:24 DROP TCP 43.241.131.38 192.168.1.10 - 1433 - - - - - - - - - -
2026-04-04 10:16:26 DROP ICMP 192.168.1.101 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:16:29 DROP TCP 192.168.1.101 192.168.1.10 5060 23 - - - - - - - - - -
2026-04-04 10:16:30 DROP ICMP 192.168.1.101 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:16:32 DROP TCP 43.241.131.38 192.168.1.1 - 22 - - - - - - - - - -
2026-04-04 10:16:35 ALLOW UDP 192.168.1.1 151.101.1.69 5060 5060 - - - - - - - - - -
2026-04-04 10:16:37 DROP TCP 185.220.101.47 192.168.1.10 - 80 - - - - - - - - - -
2026-04-04 10:16:40 DROP ICMP 185.220.101.47 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:16:41 ALLOW ICMP 192.168.1.1 8.8.8.8 - - - - - - - - - 8 0 -
2026-04-04 10:16:42 DROP TCP 185.220.101.47 192.168.1.10 - 1433 - - - - - - - - - -
2026-04-04 10:16:44 ALLOW ICMP 192.168.1.10 52.94.236.248 - - - - - - - - - 8 0 -
2026-04-04 10:16:46 DROP UDP 192.168.1.100 192.168.1.10 5060 67 - - - - - - - - - -
2026-04-04 10:16:48 DROP TCP 192.168.1.101 192.168.1.10 3389 8080 - - - - - - - - - -
2026-04-04 10:16:49 ALLOW ICMP 192.168.1.10 151.101.1.69 - - - - - - - - - 8 0 -
2026-04-04 10:16:51 DROP UDP 192.168.1.100 192.168.1.10 53 53 - - - - - - - - - -
2026-04-04 10:16:53 ALLOW ICMP 192.168.1.10 8.8.8.8 - - - - - - - - - 8 0 -
2026-04-04 10:16:56 DROP ICMP 185.220.101.47 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:16:57 ALLOW TCP 192.168.1.1 172.217.160.78 1433 80 - - - - - - - - - -
2026-04-04 10:16:59 DROP UDP 43.241.131.38 192.168.1.1 - 123 - - - - - - - - - -
2026-04-04 10:17:00 DROP ICMP 192.168.1.100 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:17:02 DROP TCP 192.168.1.101 192.168.1.1 5060 22 - - - - - - - - - -
2026-04-04 10:17:03 DROP ICMP 192.168.1.100 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:17:05 DROP UDP 185.220.101.47 192.168.1.10 - 123 - - - - - - - - - -
2026-04-04 10:17:07 DROP ICMP 43.241.131.38 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:17:09 DROP ICMP 192.168.1.100 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:17:11 DROP TCP 192.168.1.100 192.168.1.1 445 8080 - - - - - - - - - -
2026-04-04 10:17:14 ALLOW ICMP 192.168.1.1 151.101.1.69 - - - - - - - - - 8 0 -
2026-04-04 10:17:16 ALLOW ICMP 192.168.1.10 8.8.8.8 - - - - - - - - - 8 0 -
2026-04-04 10:17:19 ALLOW ICMP 192.168.1.10 157.240.22.35 - - - - - - - - - 8 0 -
2026-04-04 10:17:21 DROP ICMP 43.241.131.38 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:17:24 ALLOW TCP 192.168.1.10 52.94.236.248 123 445 - - - - - - - - - -
2026-04-04 10:17:25 DROP UDP 43.241.131.38 192.168.1.1 - 123 - - - - - - - - - -
2026-04-04 10:17:28 DROP UDP 192.168.1.101 192.168.1.10 67 5060 - - - - - - - - - -
2026-04-04 10:17:30 DROP UDP 192.168.1.100 192.168.1.1 5060 67 - - - - - - - - - -
2026-04-04 10:17:31 DROP UDP 185.220.101.47 192.168.1.1 - 5060 - - - - - - - - - -
2026-04-04 10:17:33 DROP TCP 192.168.1.101 192.168.1.10 445 23 - - - - - - - - - -
2026-04-04 10:17:34 ALLOW TCP 192.168.1.1 151.101.1.69 1433 1433 - - - - - - - - - -
2026-04-04 10:17:37 ALLOW ICMP 192.168.1.1 8.8.8.8 - - - - - - - - - 8 0 -
2026-04-04 10:17:39 DROP ICMP 43.241.131.38 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:17:41 ALLOW TCP 192.168.1.10 172.217.160.78 1433 443 - - - - - - - - - -
2026-04-04 10:17:43 ALLOW TCP 192.168.1.1 172.217.160.78 1433 53 - - - - - - - - - -
2026-04-04 10:17:44 DROP UDP 192.168.1.100 192.168.1.1 67 67 - - - - - - - - - -
2026-04-04 10:17:47 DROP UDP 192.168.1.100 192.168.1.10 53 67 - - - - - - - - - -
2026-04-04 10:17:48 DROP TCP 192.168.1.101 192.168.1.10 3389 23 - - - - - - - - - -
2026-04-04 10:17:50 DROP ICMP 185.220.101.47 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:17:52 DROP ICMP 192.168.1.101 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:17:53 DROP ICMP 185.220.101.47 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:17:55 ALLOW TCP 192.168.1.1 172.217.160.78 23 23 - - - - - - - - - -
2026-04-04 10:17:57 DROP ICMP 185.220.101.47 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:17:59 ALLOW UDP 192.168.1.1 8.8.4.4 53 123 - - - - - - - - - -
2026-04-04 10:18:01 DROP ICMP 192.168.1.100 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:18:03 ALLOW UDP 192.168.1.1 151.101.1.69 123 123 - - - - - - - - - -
2026-04-04 10:18:05 ALLOW TCP 192.168.1.1 172.217.160.78 8080 123 - - - - - - - - - -
2026-04-04 10:18:08 DROP TCP 192.168.1.100 192.168.1.1 1433 80 - - - - - - - - - -
2026-04-04 10:18:09 ALLOW TCP 192.168.1.1 52.94.236.248 23 3389 - - - - - - - - - -
2026-04-04 10:18:11 DROP TCP 43.241.131.38 192.168.1.1 - 1433 - - - - - - - - - -
2026-04-04 10:18:12 DROP UDP 43.241.131.38 192.168.1.1 - 5060 - - - - - - - - - -
2026-04-04 10:18:14 DROP ICMP 192.168.1.101 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:18:16 ALLOW ICMP 192.168.1.10 52.94.236.248 - - - - - - - - - 8 0 -
2026-04-04 10:18:17 DROP UDP 192.168.1.100 192.168.1.1 67 5060 - - - - - - - - - -
2026-04-04 10:18:19 DROP TCP 192.168.1.100 192.168.1.1 80 53 - - - - - - - - - -
2026-04-04 10:18:21 DROP ICMP 192.168.1.101 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:18:23 ALLOW ICMP 192.168.1.10 52.94.236.248 - - - - - - - - - 8 0 -
2026-04-04 10:18:25 ALLOW ICMP 192.168.1.1 157.240.22.35 - - - - - - - - - 8 0 -
2026-04-04 10:18:27 DROP UDP 192.168.1.101 192.168.1.1 53 53 - - - - - - - - - -
2026-04-04 10:18:28 ALLOW TCP 192.168.1.10 8.8.4.4 53 23 - - - - - - - - - -
2026-04-04 10:18:31 DROP ICMP 192.168.1.100 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:18:32 ALLOW ICMP 192.168.1.10 8.8.4.4 - - - - - - - - - 8 0 -
2026-04-04 10:18:35 DROP ICMP 43.241.131.38 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:18:37 DROP TCP 185.220.101.47 192.168.1.10 - 8080 - - - - - - - - - -
2026-04-04 10:18:39 DROP TCP 43.241.131.38 192.168.1.1 - 22 - - - - - - - - - -
2026-04-04 10:18:40 DROP ICMP 192.168.1.100 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:18:42 ALLOW ICMP 192.168.1.1 52.94.236.248 - - - - - - - - - 8 0 -
2026-04-04 10:18:44 DROP UDP 192.168.1.101 192.168.1.10 5060 123 - - - - - - - - - -
2026-04-04 10:18:46 DROP ICMP 185.220.101.47 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:18:48 DROP ICMP 192.168.1.101 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:18:50 ALLOW TCP 192.168.1.1 172.217.160.78 22 3389 - - - - - - - - - -
2026-04-04 10:18:52 DROP TCP 43.241.131.38 192.168.1.1 - 5060 - - - - - - - - - -
2026-04-04 10:18:53 ALLOW ICMP 192.168.1.10 157.240.22.35 - - - - - - - - - 8 0 -
2026-04-04 10:18:55 ALLOW UDP 192.168.1.10 157.240.22.35 53 123 - - - - - - - - - -
2026-04-04 10:18:58 ALLOW TCP 192.168.1.10 151.101.1.69 23 123 - - - - - - - - - -
2026-04-04 10:18:59 ALLOW TCP 192.168.1.10 8.8.4.4 80 5060 - - - - - - - - - -
2026-04-04 10:19:01 DROP ICMP 43.241.131.38 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:19:03 DROP ICMP 185.220.101.47 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:19:05 DROP ICMP 192.168.1.100 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:19:06 ALLOW UDP 192.168.1.1 172.217.160.78 5060 53 - - - - - - - - - -
2026-04-04 10:19:07 DROP ICMP 185.220.101.47 192.168.1.10 - - - - - - - - - 8 0 -
2026-04-04 10:19:08 DROP ICMP 192.168.1.100 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:19:11 ALLOW UDP 192.168.1.1 151.101.1.69 123 53 - - - - - - - - - -
2026-04-04 10:19:12 DROP ICMP 185.220.101.47 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:19:15 DROP TCP 192.168.1.101 192.168.1.1 445 80 - - - - - - - - - -
2026-04-04 10:19:17 DROP ICMP 185.220.101.47 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:19:19 ALLOW ICMP 192.168.1.1 8.8.4.4 - - - - - - - - - 8 0 -
2026-04-04 10:19:22 DROP UDP 43.241.131.38 192.168.1.1 - 5060 - - - - - - - - - -
2026-04-04 10:19:24 DROP ICMP 185.220.101.47 192.168.1.1 - - - - - - - - - 8 0 -
2026-04-04 10:19:26 ALLOW UDP 192.168.1.1 8.8.4.4 5060 53 - - - - - - - - - -
2026-04-04 10:19:29 DROP UDP 185.220.101.47 192.168.1.1 - 123 - - - - - - - - - -
2026-04-04 10:19:30 DROP UDP 192.168.1.101 192.168.1.1 5060 67 - - - - - - - - - -
2026-04-04 10:19:32 DROP UDP 192.168.1.100 192.168.1.10 5060 5060 - - - - - - - - - -
2026-04-04 10:19:33 ALLOW TCP 192.168.1.10 8.8.8.8 1433 1433 - - - - - - - - - -
2026-04-04 10:19:36 DROP TCP 43.241.131.38 192.168.1.1 - 80 - - - - - - - - - -
2026-04-04 10:19:37 ALLOW ICMP 192.168.1.1 8.8.4.4 - - - - - - - - - 8 0 -
2026-04-04 10:19:39 ALLOW UDP 192.168.1.1 8.8.8.8 123 5060 - - - - - - - - - -
2026-04-04 10:19:42 DROP TCP 43.241.131.38 192.168.1.1 - 8080 - - - - - - - - - -
2026-04-04 10:19:44 DROP UDP 43.241.131.38 192.168.1.1 - 53 - - - - - - - - - -
2026-04-04 10:19:47 DROP UDP 185.220.101.47 192.168.1.10 - 123 - - - - - - - - - -
